Date,Year,Municipality,Municipality_name,TotArea,Hectares,Month,Day,FWI,FWI_index
2000-05-12,2000,1285,Eslöv,200,0.02,5,12,17.825,4.0
2000-05-12,2000,862,Emmaboda,100,0.01,5,12,18.785714285714285,4.0
2000-05-12,2000,862,Emmaboda,100,0.01,5,12,18.785714285714285,4.0
2000-05-13,2000,1276,Klippan,1,0.0001,5,13,25.475,5.0
2000-05-13,2000,2282,Kramfors,75,0.0075,5,13,21.46,4.3
2000-05-13,2000,484,Eskilstuna,5,0.0005,5,13,22.433333333333334,4.583333333333333
2000-05-14,2000,2181,Sandviken,1,0.0001,5,14,19.96,4.0
2000-05-14,2000,1060,Olofström,2,0.0002,5,14,20.599999999999998,4.0
2000-05-14,2000,1283,Helsingborg,1,0.0001,5,14,26.700000000000003,5.0
2000-05-14,2000,821,Högsby,20,0.002,5,14,22.314285714285713,4.285714285714286
2000-05-14,2000,884,Vimmerby,50,0.005,5,14,21.97,4.6
2000-05-14,2000,127,Botkyrka,1,0.0001,5,14,19.5,4.0
2000-05-15,2000,180,Stockholm,30,0.003,5,15,29.15,6.0
2000-05-15,2000,180,Stockholm,2,0.0002,5,15,29.15,6.0
2000-05-16,2000,180,Stockholm,20,0.002,5,16,33.0,6.0
2000-05-16,2000,182,Nacka,1,0.0001,5,16,28.2,6.0
2000-06-14,2000,580,Linköping,10,0.001,6,14,23.508333333333336,4.833333333333333
2000-06-19,2000,319,Älvkarleby,100,0.01,6,19,21.133333333333333,4.333333333333333
2000-09-18,2000,486,Strängnäs,7000,0.7,9,18,19.942857142857143,4.142857142857143
