Date,Year,Municipality,Municipality_name,TotArea,Hectares,Month,Day,FWI,FWI_index
2020-06-01,2020,1256,Östra Göinge,4,0.0004,6,1,21.6,4.4
2020-06-01,2020,180,Stockholm,1,0.0001,6,1,24.5,5.0
2020-06-01,2020,1290,Kristianstad,1,0.0001,6,1,20.00769230769231,4.230769230769231
2020-06-02,2020,188,Norrtälje,2,0.0002,6,2,18.96666666666667,4.142857142857143
2020-06-03,2020,680,Jönköping,1,0.0001,6,3,23.435714285714287,4.642857142857143
2020-06-04,2020,1489,Alingsås,20,0.002,6,4,24.56,5.0
2020-06-10,2020,192,Nynäshamn,5,0.0005,6,10,23.98,5.0
2020-06-11,2020,1480,Göteborg,1,0.0001,6,11,26.674999999999997,5.0
2020-06-12,2020,581,Norrköping,4,0.0004,6,12,31.04375,5.8125
2020-06-12,2020,1490,Borås,1,0.0001,6,12,19.6,4.0
2020-06-12,2020,1490,Borås,5,0.0005,6,12,19.6,4.0
2020-06-12,2020,1490,Borås,2,0.0002,6,12,19.6,4.0
2020-06-12,2020,680,Jönköping,1,0.0001,6,12,34.15714285714286,5.785714285714286
2020-06-13,2020,180,Stockholm,1,0.0001,6,13,34.5,6.0
2020-06-14,2020,180,Stockholm,1,0.0001,6,14,31.05,6.0
2020-06-14,2020,180,Stockholm,25,0.0025,6,14,31.05,6.0
2020-06-14,2020,1480,Göteborg,1,0.0001,6,14,19.025,4.0
2020-06-15,2020,1482,Kungälv,1200,0.12,6,15,23.44,4.8
2020-06-15,2020,380,Uppsala,4,0.0004,6,15,25.726315789473684,5.105263157894737
2020-06-15,2020,191,Sigtuna,400,0.04,6,15,26.233333333333334,5.0
2020-06-16,2020,1480,Göteborg,5,0.0005,6,16,27.424999999999997,5.25
2020-06-16,2020,2085,Ludvika,1,0.0001,6,16,28.88,5.733333333333333
2020-06-16,2020,1492,Åmål,2,0.0002,6,16,23.1375,4.75
2020-06-19,2020,682,Nässjö,25,0.0025,6,19,21.755555555555556,4.444444444444445
2020-06-19,2020,561,Åtvidaberg,30,0.003,6,19,21.683333333333334,4.5
2020-06-19,2020,1487,Vänersborg,2,0.0002,6,19,18.0125,4.0
2020-06-20,2020,2081,Borlänge,1,0.0001,6,20,19.740000000000002,4.0
2020-06-21,2020,1880,Örebro,1,0.0001,6,21,23.62857142857143,4.785714285714286
2020-06-21,2020,428,Vingåker,2,0.0002,6,21,23.95,5.0
2020-06-25,2020,581,Norrköping,30000,3.0,6,25,28.631249999999998,5.0625
2020-06-25,2020,2082,Säter,500,0.05,6,25,23.8,5.0
2020-06-28,2020,580,Linköping,40,0.004,6,28,22.233333333333334,4.5
2020-07-17,2020,180,Stockholm,1,0.0001,7,17,20.9,4.5
2020-07-19,2020,125,Ekerö,3,0.0003,7,19,18.025,4.0
2020-07-23,2020,180,Stockholm,5,0.0005,7,23,19.6,4.0
2020-08-06,2020,1060,Olofström,10,0.001,8,6,23.233333333333334,4.666666666666667
2020-08-09,2020,1060,Olofström,28,0.0028,8,9,19.466666666666665,4.0
2020-08-14,2020,1267,Höör,150,0.015,8,14,25.8,5.0
2020-08-15,2020,125,Ekerö,4,0.0004,8,15,27.2,5.5
2020-08-15,2020,880,Kalmar,1,0.0001,8,15,26.58181818181818,5.0
2020-08-16,2020,583,Motala,10,0.001,8,16,19.5,4.25
2020-08-16,2020,1283,Helsingborg,1,0.0001,8,16,28.75,5.0
2020-08-17,2020,180,Stockholm,1,0.0001,8,17,21.95,4.5
2020-08-17,2020,680,Jönköping,1,0.0001,8,17,19.942857142857143,4.071428571428571
2020-08-17,2020,1401,Härryda,1,0.0001,8,17,18.866666666666664,4.0
2020-08-19,2020,381,Enköping,5,0.0005,8,19,23.822222222222223,4.666666666666667
2020-08-20,2020,180,Stockholm,50,0.005,8,20,27.2,5.0
2020-08-21,2020,1980,Västerås,1,0.0001,8,21,24.22222222222222,4.888888888888889
2020-08-24,2020,980,Gotland,300,0.03,8,24,26.536956521739132,5.195652173913044
2020-08-26,2020,180,Stockholm,1,0.0001,8,26,20.55,4.5
