Date,Year,Municipality,Municipality_name,TotArea,Hectares,Month,Day,FWI,FWI_index
2019-04-16,2019,1081,Ronneby,2400,0.24,4,16,20.0375,4.0
2019-04-19,2019,763,Tingsryd,50,0.005,4,19,21.36,4.2
2019-04-19,2019,562,Finspång,25,0.0025,4,19,21.700000000000003,4.444444444444445
2019-04-19,2019,1881,Kumla,2,0.0002,4,19,22.7,5.0
2019-04-19,2019,126,Huddinge,3,0.0003,4,19,17.7,4.0
2019-04-20,2019,1885,Lindesberg,5000,0.5,4,20,22.575,4.583333333333333
2019-04-20,2019,1486,Strömstad,30,0.003,4,20,21.25,4.75
2019-04-20,2019,1292,Ängelholm,100,0.01,4,20,20.966666666666665,4.333333333333333
2019-04-21,2019,1256,Östra Göinge,6500,0.65,4,21,27.939999999999998,5.6
2019-04-21,2019,1293,Hässleholm,50,0.005,4,21,25.733333333333334,5.0
2019-04-21,2019,1281,Lund,25,0.0025,4,21,24.15,5.0
2019-04-22,2019,484,Eskilstuna,50,0.005,4,22,21.375,4.5
2019-04-22,2019,1060,Olofström,1,0.0001,4,22,23.833333333333332,5.0
2019-04-22,2019,683,Värnamo,20,0.002,4,22,25.70909090909091,5.0
2019-04-23,2019,180,Stockholm,1,0.0001,4,23,24.9,5.0
2019-04-23,2019,182,Nacka,22000,2.2,4,23,18.9,4.0
2019-04-23,2019,1381,Laholm,15000,1.5,4,23,37.6375,6.0
2019-04-23,2019,1292,Ängelholm,500,0.05,4,23,47.23333333333333,6.0
2019-04-23,2019,125,Ekerö,5,0.0005,4,23,23.4,4.75
2019-04-24,2019,1780,Karlstad,80,0.008,4,24,26.807692307692307,5.384615384615385
2019-04-24,2019,136,Haninge,50,0.005,4,24,17.925,4.0
2019-04-24,2019,1864,Ljusnarsberg,1,0.0001,4,24,28.52,5.4
2019-04-25,2019,1494,Lidköping,1,0.0001,4,25,29.110000000000003,5.2
2019-04-26,2019,380,Uppsala,20,0.002,4,26,23.431578947368422,4.7894736842105265
2019-04-26,2019,180,Stockholm,1,0.0001,4,26,20.6,4.0
2019-05-02,2019,1486,Strömstad,1,0.0001,5,2,22.325,4.625
2019-05-16,2019,180,Stockholm,1,0.0001,5,16,18.4,4.0
2019-05-17,2019,180,Stockholm,2,0.0002,5,17,23.45,5.0
2019-06-06,2019,180,Stockholm,200,0.02,6,6,25.450000000000003,5.0
2019-06-09,2019,120,Värmdö,10,0.001,6,9,23.925,4.75
2019-06-10,2019,180,Stockholm,1,0.0001,6,10,24.299999999999997,5.0
2019-06-17,2019,581,Norrköping,400,0.04,6,17,23.1875,4.75
2019-06-19,2019,980,Gotland,500,0.05,6,19,19.906521739130437,4.195652173913044
2019-06-21,2019,125,Ekerö,5,0.0005,6,21,20.825,4.25
2019-06-23,2019,480,Nyköping,10,0.001,6,23,18.572727272727274,4.0
2019-06-28,2019,1490,Borås,1000,0.1,6,28,18.766666666666666,4.0
2019-06-30,2019,604,Aneby,20,0.002,6,30,38.96666666666667,6.0
2019-06-30,2019,680,Jönköping,4,0.0004,6,30,37.66428571428571,6.0
2019-06-30,2019,1488,Trollhättan,4,0.0004,6,30,36.5,6.0
2019-06-30,2019,1415,Stenungsund,10,0.001,6,30,30.1,6.0
2019-06-30,2019,1480,Göteborg,50,0.005,6,30,31.3,5.5
2019-07-03,2019,1480,Göteborg,1,0.0001,7,3,26.025,5.25
2019-07-04,2019,1480,Göteborg,25,0.0025,7,4,25.875,5.0
2019-07-05,2019,1480,Göteborg,1,0.0001,7,5,24.05,4.75
2019-07-05,2019,1421,Orust,10,0.001,7,5,19.580000000000002,4.0
2019-07-26,2019,1485,Uddevalla,1,0.0001,7,26,19.825,4.0
2019-07-26,2019,1281,Lund,100,0.01,7,26,19.875,4.0
2019-07-27,2019,1480,Göteborg,35,0.0035,7,27,24.95,5.25
2019-07-27,2019,1460,Bengtsfors,4,0.0004,7,27,23.533333333333335,4.777777777777778
2019-07-27,2019,1060,Olofström,1500,0.15,7,27,24.900000000000002,5.0
2019-07-27,2019,180,Stockholm,1,0.0001,7,27,18.1,4.0
2019-07-28,2019,125,Ekerö,10,0.001,7,28,23.825,5.0
2019-07-28,2019,2482,Skellefteå,10,0.001,7,28,23.526153846153846,4.7384615384615385
2019-07-28,2019,1765,Årjäng,3,0.0003,7,28,24.188235294117646,4.882352941176471
2019-07-28,2019,1460,Bengtsfors,300,0.03,7,28,25.311111111111114,5.111111111111111
2019-07-28,2019,1438,Dals-Ed,10,0.001,7,28,26.32857142857143,5.285714285714286
2019-08-01,2019,2584,Kiruna,10000,1.0,8,1,24.344791666666666,4.859375
2019-08-05,2019,2581,Piteå,1,0.0001,8,5,19.272727272727273,4.03030303030303
2019-09-01,2019,980,Gotland,25,0.0025,9,1,29.92391304347826,5.5
